,Home Team Initials,Away Team Initials,weight,HomeGoalTotal
0,ALG,AUT,1,1
1,ALG,CHI,1,1
2,ALG,ESP,1,1
3,ALG,NIR,1,1
4,ALG,RUS,1,1
5,ALG,SVN,1,1
6,ANG,POR,1,1
7,ARG,BEL,4,4
8,ARG,BIH,1,1
9,ARG,BRA,3,3
10,ARG,BUL,3,3
11,ARG,CHI,1,1
12,ARG,CIV,1,1
13,ARG,CMR,1,1
14,ARG,CRO,1,1
15,ARG,ENG,3,3
16,ARG,ESP,1,1
17,ARG,FRA,2,2
18,ARG,FRG,2,2
19,ARG,GDR,1,1
20,ARG,GER,1,1
21,ARG,GRE,1,1
22,ARG,HAI,1,1
23,ARG,HUN,2,2
24,ARG,IRN,1,1
25,ARG,ITA,1,1
26,ARG,JAM,1,1
27,ARG,JPN,1,1
28,ARG,KOR,2,2
29,ARG,MEX,3,3
30,ARG,NED,1,1
31,ARG,NGA,3,3
32,ARG,NIR,1,1
33,ARG,PER,1,1
34,ARG,POL,1,1
35,ARG,ROU,1,1
36,ARG,SCG,1,1
37,ARG,SLV,1,1
38,ARG,SUI,3,3
39,ARG,URS,1,1
40,ARG,URU,1,1
41,ARG,USA,1,1
42,AUS,CHI,1,1
43,AUS,ESP,1,1
44,AUS,FRG,1,1
45,AUS,JPN,1,1
46,AUS,NED,1,1
47,AUS,SRB,1,1
48,AUT,ESP,1,1
49,AUT,FRA,2,2
50,AUT,FRG,1,1
51,AUT,HUN,1,1
52,AUT,NIR,1,1
53,AUT,SCO,1,1
54,AUT,SUI,1,1
55,AUT,SWE,1,1
56,AUT,TCH,2,2
57,AUT,URU,1,1
58,AUT,USA,1,1
59,BEL,ALG,1,1
60,BEL,ESP,1,1
61,BEL,HUN,1,1
62,BEL,KOR,2,2
63,BEL,KSA,1,1
64,BEL,MAR,1,1
65,BEL,MEX,2,2
66,BEL,NED,1,1
67,BEL,RUS,2,2
68,BEL,SLV,2,2
69,BEL,URS,1,1
70,BEL,URU,1,1
71,BEL,USA,2,2
72,BIH,IRN,1,1
73,BOL,ESP,1,1
74,BRA,ALG,1,1
75,BRA,ARG,1,1
76,BRA,AUS,1,1
77,BRA,AUT,2,2
78,BRA,BEL,1,1
79,BRA,BOL,1,1
80,BRA,BUL,1,1
81,BRA,CHI,5,5
82,BRA,CHN,1,1
83,BRA,CIV,1,1
84,BRA,CMR,1,1
85,BRA,COL,2,2
86,BRA,CRC,1,1
87,BRA,CRO,2,2
88,BRA,DEN,1,1
89,BRA,ENG,3,3
90,BRA,ESP,3,3
91,BRA,FRA,4,4
92,BRA,GDR,1,1
93,BRA,GER,2,2
94,BRA,GHA,1,1
95,BRA,ITA,3,3
96,BRA,MAR,1,1
97,BRA,MEX,4,4
98,BRA,NED,3,3
99,BRA,NOR,1,1
100,BRA,NZL,1,1
101,BRA,PER,2,2
102,BRA,POL,4,4
103,BRA,PRK,1,1
104,BRA,ROU,1,1
105,BRA,RUS,1,1
106,BRA,SCO,3,3
107,BRA,SUI,1,1
108,BRA,SWE,5,5
109,BRA,TCH,5,5
110,BRA,TUR,2,2
111,BRA,URS,2,2
